config,run,cases,accuracy,clear,ambiguous,adversarial,fallback_rate,latency_p50_ms,latency_max_ms
hybrid:gemma2:9b,0,77,0.8571,0.9667,0.5,0.4286,0.0,0.0,1718.0
hybrid:granite4:latest,0,77,0.8701,0.9833,0.5,0.4286,0.026,0.0,752.7
hybrid:llama3.2:3b,0,77,0.8571,0.9667,0.5,0.4286,0.0,0.0,692.5
hybrid:qwen2.5:7b-instruct,0,77,0.8571,0.9667,0.5,0.4286,0.0,0.0,1318.0
hybrid:qwen3.5:4b-q4_K_M,0,77,0.8831,1.0,0.5,0.4286,0.039,0.0,5972.3
keyword,0,77,0.8831,1.0,0.5,0.4286,0.0,0.0,0.0
llm:gemma2:9b,0,77,0.6234,0.7,0.4,0.2857,0.026,775.5,2362.3
llm:gemma4:12b-it-qat,0,77,0.8961,0.9667,0.7,0.5714,0.3896,5950.0,7335.0
llm:gemma4:12b-it-qat:bigbudget,0,77,0.8182,0.8667,0.7,0.5714,0.013,5735.0,56408.4
llm:gemma4:12b-it-qat:nothink,0,77,0.8312,0.8833,0.7,0.5714,0.0,1220.9,1328.1
llm:gemma4:12b-it-qat:nothink,1,77,0.8312,0.8833,0.7,0.5714,0.0,1232.1,1351.2
llm:gemma4:12b-it-qat:nothink,2,77,0.8312,0.8833,0.7,0.5714,0.0,1277.4,1408.3
llm:gemma4:e4b-it-qat,0,77,0.8182,0.8667,0.6,0.7143,0.026,683.3,1196.3
llm:gemma4:e4b-it-qat:nothink,0,77,0.8312,0.9167,0.6,0.4286,0.039,701.5,1241.7
llm:granite4:latest,0,231,0.8355,0.8889,0.7,0.5714,0.1818,324.4,799.3
llm:granite4:latest,1,77,0.8571,0.9,0.8,0.5714,0.1688,324.7,388.0
llm:granite4:latest,2,77,0.8182,0.8667,0.7,0.5714,0.1558,325.6,388.2
llm:llama3.2:3b,0,77,0.7532,0.8167,0.5,0.5714,0.3377,301.0,2084.3
llm:qwen2.5:7b-instruct,0,77,0.7532,0.8167,0.6,0.4286,0.0779,513.5,1329.1
llm:qwen3.5:4b-q4_K_M,0,77,0.8831,1.0,0.5,0.4286,1.0,5402.5,6055.8
llm:qwen3.5:4b-q4_K_M:bigbudget,0,77,0.9091,0.9833,0.7,0.5714,0.4675,26590.3,32063.9
llm:qwen3.5:4b-q4_K_M:nothink,0,77,0.7792,0.8333,0.7,0.4286,0.0519,968.5,1147.5
llm:qwen3.6:27b:ceiling,0,77,0.8831,0.9667,0.6,0.5714,0.2468,15216.7,22696.1
